user_id,week_id,current_score,mastery_avg,mastery_std,weak_ratio,action_topic_count,action_avg_difficulty,action_review_ratio,action_planned_time,improvement_last_week,prev_week_time,next_week_score
1,1,6.4,0.64,0.13,0.4,8,0.4,0.07,561,0.0,0,7.33
1,2,7.33,0.73,0.19,0.2,12,0.25,0.31,561,0.93,561,5.66
1,3,5.66,0.57,0.17,0.26,5,0.6,0.07,337,-1.67,561,4.18
1,4,4.18,0.42,0.23,0.68,7,0.73,0.68,421,-1.48,337,4.69
1,5,4.69,0.47,0.14,0.52,3,0.46,0.58,252,0.51,421,5.46
1,6,5.46,0.55,0.16,0.38,9,0.74,0.53,561,0.77,252,6.18
1,7,6.18,0.62,0.1,0.38,10,0.55,0.08,561,0.72,561,5.72
1,8,5.72,0.57,0.2,0.3,0,0.0,0.0,0,-0.46,561,5.62
1,9,5.62,0.56,0.17,0.44,11,0.27,0.27,561,-0.1,0,6.33
1,10,6.33,0.63,0.15,0.52,4,0.24,0.64,252,0.71,561,7.76
2,1,6.2,0.62,0.13,0.4,3,0.53,0.2,236,0.0,0,6.53
2,2,6.53,0.65,0.15,0.4,7,0.71,0.3,394,0.33,236,6.91
2,3,6.91,0.69,0.16,0.26,3,0.8,0.62,157,0.38,394,7.49
2,4,7.49,0.75,0.07,0.2,4,0.62,0.44,315,0.58,157,7.62
2,5,7.62,0.76,0.08,0.26,2,0.59,0.68,157,0.13,315,7.8
2,6,7.8,0.78,0.0,0.18,4,0.65,0.41,315,0.18,157,8.14
2,7,8.14,0.81,0.1,0.2,9,0.5,0.64,525,0.34,315,8.32
2,8,8.32,0.83,0.17,0.22,10,0.88,0.06,525,0.18,525,6.69
2,9,6.69,0.67,0.07,0.24,3,0.86,0.63,157,-1.63,525,7.39
2,10,7.39,0.74,0.13,0.2,4,0.8,0.13,315,0.7,157,7.76
3,1,3.4,0.34,0.21,0.56,5,0.86,0.45,319,0.0,0,4.44
3,2,4.44,0.44,0.24,0.56,0,0.0,0.0,0,1.04,319,3.67
3,3,3.67,0.37,0.2,0.68,0,0.0,0.0,0,-0.77,0,3.5
3,4,3.5,0.35,0.29,0.64,6,0.41,0.5,425,-0.17,0,5.26
3,5,5.26,0.53,0.17,0.42,10,0.29,0.07,532,1.76,425,4.28
3,6,4.28,0.43,0.27,0.58,9,0.62,0.55,425,-0.98,532,3.58
3,7,3.58,0.36,0.21,0.64,0,0.0,0.0,0,-0.7,425,3.3
3,8,3.3,0.33,0.31,0.62,10,0.66,0.61,532,-0.28,0,4.65
3,9,4.65,0.46,0.25,0.62,0,0.0,0.0,0,1.35,532,4.21
3,10,4.21,0.42,0.1,0.42,9,0.35,0.23,532,-0.44,0,4.82
4,1,4.8,0.48,0.19,0.52,4,0.88,0.03,213,0.0,0,4.0
4,2,4.0,0.4,0.21,0.66,5,0.46,0.38,355,-0.8,213,4.59
4,3,4.59,0.46,0.2,0.54,0,0.0,0.0,0,0.59,355,4.38
4,4,4.38,0.44,0.26,0.6,7,0.25,0.63,355,-0.21,0,4.92
4,5,4.92,0.49,0.22,0.46,5,0.54,0.53,284,0.54,355,5.53
4,6,5.53,0.55,0.12,0.52,4,0.46,0.12,213,0.61,284,5.87
4,7,5.87,0.59,0.12,0.44,7,0.52,0.2,284,0.34,213,5.92
4,8,5.92,0.59,0.14,0.5,4,0.81,0.02,284,0.05,284,5.67
4,9,5.67,0.57,0.14,0.36,8,0.5,0.69,474,-0.25,284,5.71
4,10,5.71,0.57,0.13,0.46,11,0.69,0.47,474,0.04,474,5.21
5,1,5.3,0.53,0.25,0.5,4,0.83,0.36,329,0.0,0,6.36
5,2,6.36,0.64,0.13,0.42,7,0.64,0.6,439,1.06,329,7.2
5,3,7.2,0.72,0.15,0.3,8,0.29,0.62,549,0.84,439,5.83
5,4,5.83,0.58,0.09,0.4,12,0.57,0.09,733,-1.37,549,5.32
5,5,5.32,0.53,0.2,0.44,3,0.71,0.08,219,-0.51,733,5.8
5,6,5.8,0.58,0.2,0.4,4,0.38,0.43,219,0.48,219,6.74
5,7,6.74,0.67,0.14,0.26,11,0.77,0.21,549,0.94,219,7.44
5,8,7.44,0.74,0.13,0.28,0,0.0,0.0,0,0.7,549,7.11
5,9,7.11,0.71,0.1,0.32,3,0.4,0.64,219,-0.33,0,7.55
5,10,7.55,0.76,0.1,0.26,1,0.77,0.21,109,0.44,219,7.83
6,1,6.5,0.65,0.06,0.36,1,0.22,0.15,89,0.0,0,6.89
6,2,6.89,0.69,0.07,0.32,5,0.42,0.61,357,0.39,89,7.86
6,3,7.86,0.79,0.05,0.22,2,0.28,0.02,178,0.97,357,7.69
6,4,7.69,0.77,0.12,0.2,5,0.55,0.4,267,-0.17,178,7.84
6,5,7.84,0.78,0.07,0.18,3,0.59,0.44,178,0.15,267,7.79
6,6,7.79,0.78,0.11,0.28,9,0.82,0.7,595,-0.05,178,8.09
6,7,8.09,0.81,0.06,0.18,7,0.68,0.62,446,0.3,595,7.64
6,8,7.64,0.76,0.01,0.26,7,0.71,0.52,446,-0.45,446,5.96
6,9,5.96,0.6,0.13,0.38,0,0.0,0.0,0,-1.68,446,5.98
6,10,5.98,0.6,0.2,0.62,7,0.79,0.54,357,0.02,0,6.45
7,1,2.9,0.29,0.28,0.78,0,0.0,0.0,0,0.0,0,2.99
7,2,2.99,0.3,0.33,0.7,9,0.43,0.53,585,0.09,0,4.66
7,3,4.66,0.47,0.14,0.54,6,0.9,0.01,351,1.67,585,3.55
7,4,3.55,0.36,0.15,0.54,5,0.88,0.49,351,-1.11,351,4.27
7,5,4.27,0.43,0.14,0.42,1,0.7,0.17,117,0.72,351,4.43
7,6,4.43,0.44,0.21,0.56,9,0.48,0.0,585,0.16,117,4.63
7,7,4.63,0.46,0.22,0.56,6,0.73,0.05,351,0.2,585,3.08
7,8,3.08,0.31,0.34,0.66,1,0.61,0.65,117,-1.55,351,3.64
